pais;cont;contcod;area;natalidade;fertilidade;mort_inf;expect_vida;mort_mater;medic;pop;pop_urb
Afghanistan;asia; 3,00 ; 652,23 ; 32,49 ; 4,47 ; 47,90 ; 64,50 ; 638,00 ; 0,28 ;40099462,00;9797273,00
Albania;europa; 2,00 ; 28,75 ; 11,78 ; 1,62 ; 7,80 ; 78,50 ; 15,00 ; 1,20 ;2811666,00;1747593,00
Algeria;africa; 4,00 ; 2,381,741 ; 24,28 ; 3,02 ; 20,10 ; 76,70 ; 112,00 ; 1,72 ;43900000,00;31510100,00
Angola;africa; 4,00 ; 1,246,700 ; 40,73 ; 5,52 ; 51,60 ; 60,80 ; 241,00 ; 0,21 ;32866270,00;21061025,00
Antigua and Barbuda;america; 1,00 ; 443,00 ; 15,33 ; 1,99 ; 5,00 ; 76,90 ; 42,00 ; 2,76 ;101489,00;23800,00
Argentina;america; 1,00 ; 2,780,400 ; 17,02 ; 2,26 ; 8,80 ; 76,50 ; 39,00 ; 3,96 ;45808747,00;41339571,00
Armenia;asia; 3,00 ; 29,74 ; 13,99 ; 1,76 ; 11,00 ; 74,90 ; 26,00 ; 4,40 ;2790974,00;1869848,00
Australia;oceania; 5,00 ; 7,741,220 ; 12,60 ; 1,74 ; 3,10 ; 82,70 ; 6,00 ; 3,68 ;25688079,00;21844756,00
Austria;europa; 2,00 ; 83,87 ; 9,70 ; 1,47 ; 2,90 ; 81,60 ; 5,00 ; 5,17 ;8955797,00;5194416,00
Azerbaijan;asia; 3,00 ; 86,60 ; 14,00 ; 1,73 ; 19,20 ; 72,90 ; 26,00 ; 3,45 ;10137750,00;5616165,00
Bahrain;asia; 3,00 ; 765,00 ; 13,99 ; 1,99 ; 6,10 ; 77,20 ; 14,00 ; 0,93 ;445373,00;1467109,00
Bangladesh;asia; 3,00 ; 148,46 ; 18,18 ; 2,04 ; 25,10 ; 72,30 ; 173,00 ; 0,58 ;169356251,00;60987417,00
Barbados;america; 1,00 ; 430,00 ; 10,65 ; 1,62 ; 11,30 ; 79,10 ; 27,00 ; 2,48 ;303431,00;89431,00
